lulc,impedance,type,impedance_rounded,edge_effect,vector_refine
1,4,Aquatic environments,4,0,1
2,1000,"Urban, industrial and road areas (infrastructures, roads, trains, etc)",1000,1,1
3,5.7,Herbaceous crops,6,0,0
4,3.4,Woody crops,3,0,0
5,2.7,Meadows and shrublands,3,0,0
6,1,Forests,1,0,0
7,2.7,Denuded areas,3,0,0
101,2,Protected-Aquatic environments,2,0,1
102,500,"Protected-Urban, industrial and road areas (infrastructures, roads, trains, etc)",500,1,1
103,2.85,Protected-Herbaceous crops,3,0,0
104,1.7,Protected-Woody crops,2,0,0
105,1.35,Protected-Meadows and shrublands,1,0,0
106,0.5,Protected-Forests,1,0,0
107,1.35,Protected-Denuded areas,1,0,0
